Fips,Area,2016
1000,Alabama,205625
2000,Alaska,50404
4000,Arizona,305849
5000,Arkansas,121383
6000,California,2622731
8000,Colorado,322644
9000,Connecticut,259918
10000,Delaware,71453
11000,District of Columbia,126478
12000,Florida,926049
13000,Georgia,531302
15000,Hawaii,84671
16000,Idaho,68377
17000,Illinois,796012
18000,Indiana,347249
19000,Iowa,185183
20000,Kansas,150576
21000,Kentucky,196681
22000,Louisiana,236999
23000,Maine,59295
24000,Maryland,382437
25000,Massachusetts,505776
26000,Michigan,490238
27000,Minnesota,339096
28000,Mississippi,108495
29000,Missouri,299113
30000,Montana,46227
31000,Nebraska,117446
32000,Nevada,146278
33000,New Hampshire,77208
34000,New Jersey,575331
35000,New Mexico,93594
36000,New York,1500055
37000,North Carolina,521621
38000,North Dakota,53453
39000,Ohio,626622
40000,Oklahoma,181278
41000,Oregon,228886
42000,Pennsylvania,719834
44000,Rhode Island,57529
45000,South Carolina,209859
46000,South Dakota,48354
47000,Tennessee,331868
48000,Texas,1599283
49000,Utah,157671
50000,Vermont,31091
51000,Virginia,492932
53000,Washington,476770
54000,West Virginia,72861
55000,Wisconsin,313088
56000,Wyoming,38328
91000,New England,990817
92000,Mideast,3375587
93000,Great Lakes,2573210
94000,Plains,1193220
95000,Southeast,3955675
96000,Southwest,2180003
97000,Rocky Mountain,633247
98000,Far West,3609739
